""	"SHS-1-1-HS0hr"	"SHS-1-2-HS48hr"	"SHS-1-3-HS72hr"	"SHS-1-8-Sa"	"SHS-1-9-Aly"	"SHS-2-1-HS0hr"	"SHS-2-2-HS48hr"	"SHS-2-3-HS72hr"	"SHS-2-8-Sa"	"SHS-2-9-Aly"
"FBgn0000008"	9.1461298973682	8.99816275387868	9.04164259569755	8.95758061653615	7.33515644007948	9.02576839562214	8.98354306506682	9.11709906805748	8.90408094908683	7.50450039624538
"FBgn0000014"	11.0497112775246	10.3294741791566	9.30779108276303	9.50711887252894	8.48655289368374	11.0785219254605	10.302670810475	9.38950607120563	9.49313764791621	8.46316431989965
"FBgn0000015"	9.17604616986464	7.8452807000519	7.91360269138143	7.64503401431067	8.01311212280532	9.1266430173283	7.93679369708162	7.77455264522764	7.69799243743806	7.99194766707597
"FBgn0000017"	10.9858886969631	11.1477746200211	9.80163188071001	9.81294457183663	10.5705815482351	10.973548268728	11.1366551768928	9.75050412421394	9.72736901206873	10.5211906211148
"FBgn0000018"	9.05558606705192	10.8632709923701	9.88844813882414	10.8806289535377	11.6655693141082	9.09149548882907	10.754320735533	9.83806848016422	10.8404844810159	11.6727453184295
"FBgn0000024"	5.80045206293754	6.43243884091312	6.44657481505226	5.56472106857969	6.37350566329998	5.72957959339878	6.57056403708776	6.15098933162635	5.2829188747346	6.33375962316967
"FBgn0000028"	3.17084635482582	6.00047082858692	7.11791961038471	5.96634042452001	5.59276774042368	1.68765373618555	6.03485166008476	7.18062676461932	6.0234830855499	5.47689114093733
"FBgn0000032"	9.62155201899249	10.3462756609423	11.2471173591138	11.0958065562399	10.0084191877926	9.59556386999374	10.3903603235495	11.1788990296743	11.0622030075996	10.0174309883672
"FBgn0000036"	1.23540753059463	3.86786958665716	5.48425569558917	6.29676855061201	6.58250315463152	1.54471270434791	4.00202976007762	5.70996479055779	6.21624398599893	6.35264955764847
"FBgn0000037"	2.59902527686254	5.99922174343052	5.97857726907987	5.43634784469776	5.08040117595617	3.73939650595152	6.17738217831361	5.72376493036298	5.44938450946436	4.68898757840136
"FBgn0000038"	2.17928075916	8.31326157526895	7.76135772628952	8.30847584707746	3.1340009824761	2.3088935200345	8.25967918878654	7.71643059022412	8.30217131296479	2.82152755976004
"FBgn0000042"	16.5051572709411	14.9159270074141	14.6075680335288	15.0164606702102	14.9244358652495	16.4840441019132	14.9006841279371	14.6159235049245	14.9826233819394	14.939914155608
"FBgn0000043"	14.6279349785017	13.4437954513957	13.8340484728061	14.2170825964763	14.1515284252706	14.621068498675	13.4649412928877	13.841346458247	14.1841889339504	14.1412301393348
"FBgn0000044"	10.6679550073923	10.0135414688809	10.407132390113	9.7307263289921	9.9663541022354	10.6938348497948	10.0754409403353	10.3708286472834	9.77052173601905	10.0951179169755
"FBgn0000045"	5.81821726937522	4.47409320655802	8.58661818877425	5.52491916301697	3.80674559063504	6.13250285621183	4.64876378948106	8.60577981467296	6.10933546863138	4.48140526683472
"FBgn0000046"	10.9666649464637	10.6341850672843	12.8261575517014	11.2884817556063	10.1273548622906	11.0018178588747	10.7107344337877	12.8318296510209	11.2970889893443	10.2434670947185
"FBgn0000047"	9.2514489107834	5.24364243546832	5.38925411031077	6.2728450631815	6.93762293959344	9.28420024631566	5.21155476160101	5.92917816508386	6.3538836664358	7.03713716865115
"FBgn0000052"	11.0236796497548	9.54308862367486	9.76523356360856	9.48824653251554	9.83340003545781	11.0104433389422	9.6696643123245	9.77596175415278	9.59556170332217	9.89152837487378
"FBgn0000053"	10.4845176710426	8.97572042214965	9.55261899381367	9.78611968450273	9.43810948434325	10.5079499414689	8.89137499331257	9.55567417990584	9.68244366612733	9.36452888142951
"FBgn0000054"	10.9193706468289	11.6437515291904	11.0492133334355	11.4785986903575	11.447354479866	10.8538487611585	11.6474073617432	11.0324291691999	11.5292148688982	11.4633118685281
"FBgn0000055"	4.77421718149412	3.60413692507938	3.94778871046883	2.30555635861839	1.88835217954245	4.84907053459137	3.62864002358305	4.02350314775083	2.17426658879429	3.68903343825264
"FBgn0000057"	9.71927497804934	10.3890892252149	11.6322565667527	9.52368828845392	10.6073833491218	9.79459124450731	10.3663084983627	11.5674203030254	9.62499207541387	10.5747284552313
"FBgn0000061"	0.133673032521993	-0.0428997151950326	0.312660267853697	2.57584254507067	5.05895937536093	0.0576202964083732	-0.123027291056413	0.246468477216916	2.89945723050042	5.85648481770961
"FBgn0000063"	8.31091629580577	9.42615264712283	8.73767689070869	9.04715003924874	10.9193618615783	8.40631536387867	9.4788897576408	8.59341529012842	8.90620531942819	10.9678752463342
"FBgn0000064"	11.9667530501335	11.1904378640872	11.9635378885031	11.3142370056052	10.5338909241011	12.0113985676987	11.156462400297	11.9592692991824	11.29775179541	10.5232964951577
"FBgn0000071"	7.38824875917404	4.71448499438612	5.31275947931705	4.86051221962355	5.63480433043693	7.25647269343781	4.98135618562426	5.65481336907351	5.30085830177506	5.82230669930392
"FBgn0000075"	5.98200301626317	4.01110756321488	3.58228979008904	3.84446598105532	5.29285075169979	5.701710479409	3.93692221035437	4.05208816894226	4.21542614309991	4.94556133404011
"FBgn0000077"	7.3588738853631	5.85831276637471	6.47936516386544	6.25157544097472	6.45803838270062	7.44732605801369	5.70869901203766	6.16158185588475	6.12343518474234	6.5407059953663
"FBgn0000078"	9.67447857270618	9.89437921718302	9.25559478897156	10.2760619291216	6.30073318456715	9.73563487658753	9.90836912774976	9.37422937395993	10.2728171259018	6.14926023923418
"FBgn0000079"	10.6035403695388	10.807732178593	10.3181582320996	11.3666398220299	6.88884634013034	10.5815988122773	10.9004066428497	10.4473023409714	11.4627894057668	6.91572958898387
"FBgn0000083"	12.6916155306855	11.5321059948983	11.7788389889374	12.426138767554	11.5077399018372	12.6908396967373	11.580734683779	11.7690832749016	12.4484668748933	11.5340149055589
"FBgn0000084"	9.66500681830432	8.85956880878839	9.6555454934433	9.00357987929047	8.30148151271108	9.64545569987529	8.86742354169397	9.677348147261	8.93399983798082	8.31341608511906
"FBgn0000092"	3.86365652737017	1.93198952325267	2.17012467133728	0.561551717299082	3.61762038869326	3.40307025637012	2.80435917763792	1.73230322821966	1.98970125190191	2.90645692107514
"FBgn0000094"	2.5184988449241	3.51294883717433	9.37252978498628	5.49845458581054	3.01799911387552	3.24244878831534	3.16240237461437	9.23361714231802	5.88037539290767	3.05054388829495
"FBgn0000097"	10.0056247888883	8.69579865946583	7.82475917732576	7.76064923703728	7.95126589271629	10.1595370817032	8.66279699479412	7.86986027712108	7.68152022543411	7.74547791706256
"FBgn0000099"	8.06116857434365	8.61787863850296	9.40101611046597	9.28734062553483	7.52202448060343	8.1566882210458	8.56358265133373	9.55136256526168	9.28290818790065	7.67020343679171
"FBgn0000100"	14.327986278886	13.2134569221289	13.3141616568719	13.0833974633684	13.429044218797	14.4172579757002	13.2968972165397	13.3084108154126	13.1454423560729	13.477759038316
"FBgn0000108"	8.80683062847475	8.24516484275443	7.80992559370436	6.99236846194741	6.71117143565187	8.71735576958757	8.51197441777287	7.87146446003602	6.79347396673717	6.52875312369183
"FBgn0000109"	7.9271210260067	6.4232435802178	6.44692011535323	6.39797989055999	7.66278730412723	7.9535481871052	6.1297294608739	6.19575301475887	6.37377798176082	7.76345717699836
"FBgn0000114"	11.7233253395823	11.7318219402648	11.9086365903752	10.2711093515215	10.4455610904422	11.7141844860982	11.7338261207711	11.8876058064024	10.3608875444181	10.3900931918133
"FBgn0000115"	9.96106410386182	9.8083481565091	9.63408520185012	10.056673858618	10.226361417014	9.87674720372264	9.83219124055213	9.53997032843858	9.95112733214343	10.3132797165408
"FBgn0000116"	14.6747565975542	13.5574530557188	13.1857341215924	14.1338804502841	14.1689120337896	14.6731969693333	13.5517165420805	13.233307500498	14.1305215316575	14.1443571805232
"FBgn0000117"	13.0619155178096	12.1515961951941	11.8911335990617	12.1431227113772	12.2744445051631	13.0765339708398	12.1330921260254	11.9074585006666	12.1434869909971	12.2647503250346
"FBgn0000119"	10.5105250254007	11.3562422787399	11.2826003488578	12.0158845025049	12.6760102710312	10.5394541434221	11.3301464983842	11.2832525492858	12.0745893208268	12.7028922964797
"FBgn0000120"	1.04636912550175	3.3727177742007	7.91175232343261	4.58234777176641	3.42884017780836	1.75335151292984	3.68310250500731	7.84785863711677	4.04985257091704	4.03007527831941
"FBgn0000121"	1.89954079375735	3.10886616910157	2.42822990785058	2.31846606413595	3.12933315508961	1.07355222951711	2.98757358110503	2.56027068779273	1.71830311791048	2.87447301911228
"FBgn0000139"	10.3179677375803	10.1896402516499	10.0600771845281	9.58304780549837	10.4613320165283	10.3028500828631	10.1952300264725	10.0357007950951	9.66057167988077	10.4251211288534
"FBgn0000140"	11.6173625371692	11.2175918944217	12.75187239663	12.4024455620416	9.56669816585406	11.6029980808974	11.2109304516777	12.7880910905751	12.4075926011413	9.79346498319727
"FBgn0000146"	12.2370628039152	10.5744235740782	10.3238045713127	9.77043033360077	10.3434858382042	12.2183295646085	10.6266548809041	10.2578014192383	9.85577433538607	10.2356111541034
"FBgn0000147"	9.73765323357138	10.2471228983547	11.7457028026684	11.742474845245	10.6761305426825	9.68428452972689	10.2451252751488	11.8020490188603	11.7241244268641	10.6196418423018
"FBgn0000150"	12.7219804218021	11.4139429580447	11.9373795139685	11.8901134199803	11.6307007428825	12.756502098234	11.4381413311477	11.9364134459003	11.8803412456452	11.6256218514744
"FBgn0000152"	8.55718873793483	8.17857181774245	7.8862273755024	6.90332359215169	7.30791971368612	8.3979724806588	8.40780431023962	7.87230042868146	7.11400118388184	7.23511176453565
"FBgn0000153"	6.55078666671392	5.55771519139079	5.92544771377548	5.08454816663993	6.20610840053851	6.5354352252782	5.5036343908702	6.42726711924192	4.96350862908493	5.87696985686454
"FBgn0000157"	5.21904213291679	4.36976319528245	3.84890392472387	4.54323157903009	4.89515973125203	5.0772188065371	4.42518121873351	4.14443904532394	3.93994930427226	4.59642098706131
"FBgn0000158"	11.0375135837526	9.4498202006812	8.50309382032754	9.75154311268362	11.1370902245535	11.0716159575875	9.4411791324	8.31984373989399	9.73534168819007	11.1598031956028
"FBgn0000163"	11.9999170083141	10.4609670262576	10.0794215424638	10.6020774499776	10.9336700168187	11.9606537847166	10.4595560404475	10.0418905017406	10.5998401178824	10.9088539663964
"FBgn0000166"	2.95309231021736	2.82088125327695	3.0781853186784	3.28624715949586	4.04943819158112	3.56399189853218	2.38453532951936	3.43694014707684	2.88604078197727	4.54014369241503
"FBgn0000173"	11.9235739129058	10.3824651440465	10.494397339656	10.5672544335125	10.1626988941085	11.9036961119604	10.3898858947219	10.5928253758467	10.5254136742089	10.238153372546
"FBgn0000179"	2.77961163166306	6.7247903403774	5.7291307170844	7.12716971058256	3.22699903203426	2.44152034560742	6.647857177063	5.7900400753524	7.01040690504739	2.92586219557429
"FBgn0000180"	5.92689743518801	8.14521265681187	6.75004583880406	7.77061071829494	8.15897125208808	5.89472357712471	7.97654606048321	6.74833293236289	7.74373523045839	8.13044199240035
"FBgn0000181"	14.859615555588	13.4227167804651	12.9443059479261	12.8651070907592	13.6778964112119	14.8666321332979	13.4429319594593	12.915932538395	12.9105452370608	13.7112871739415
"FBgn0000182"	0.820402423432685	4.05308486675341	6.40828781852862	5.10174169453035	0.888632746275723	0.724634127489524	3.91136296423337	6.58075087742072	4.82971120609509	0.792984086889021
"FBgn0000183"	12.7853463652635	12.0671916704221	11.6007052716404	11.6192026338433	12.4440892831657	12.7899172711115	12.0246199152855	11.6568857202469	11.5853296930397	12.4159080073417
"FBgn0000206"	1.73130308048564	2.63804546138223	2.84381574584847	4.92121924524743	3.77160271995046	1.62342077697979	3.14746265713681	2.50017374352943	4.77075913708924	3.63978620803331
"FBgn0000210"	8.23835148702228	7.67377742538742	8.83197104405408	7.17622402059831	6.1331625011951	8.46693887266299	7.54440729806238	8.9120553800269	7.48880272865819	5.98243620001763
"FBgn0000212"	10.8290768496223	9.52248300172715	8.55869114403487	7.96287007625748	9.56900528629519	10.7896373392525	9.63259769354353	8.5752271827444	8.20375761142122	9.6533903696495
"FBgn0000221"	7.71477617677045	8.37786951360757	9.80943346382434	9.27267248001422	8.97652296386791	7.61249110909291	8.35703604998672	9.78992798410984	9.36735648115557	8.89258528162453
"FBgn0000228"	10.4786914887944	10.0408261707602	9.20410315172518	10.1204297018911	11.3346300346339	10.4670402305452	10.1475610515895	9.2115697936735	10.21177736452	11.3722237217419
"FBgn0000229"	11.2699021329304	10.6679522177212	10.7974723470536	10.1568504796306	9.62819979351113	11.2641157136388	10.6102048364121	10.6061170845908	10.1573799095976	9.52728251169402
"FBgn0000233"	0.798143750710255	2.63750901826813	3.07486252629048	3.41616843334464	7.05312191824481	0.702213830897721	2.328648710235	2.95564524913119	3.75876976368833	7.01909166333958
"FBgn0000239"	12.1040959548766	11.3361226441734	11.1709888822713	10.547468241644	11.8278370226031	12.0942984152532	11.3439883361148	11.1663143338828	10.4432287416851	11.8563440610093
"FBgn0000241"	11.0704391485631	10.4521843041885	10.1800269372996	9.075317781041	4.4844060550719	11.101039035324	10.3599786783453	10.2761451360522	9.05365040552494	4.70534504571301
"FBgn0000244"	9.61168246546975	8.84123226357829	8.81618695699649	8.9755467599975	8.52411757786173	9.7172088282653	8.80671925417753	8.81608515055311	9.02721718199936	8.50555685705641
"FBgn0000246"	12.3092590498288	10.0812509624955	10.8389298922684	10.1522533401695	10.3272694390636	12.2959165784918	10.0341684691518	10.872986070798	10.1278493264388	10.3698177244436
"FBgn0000247"	11.5142758789978	12.0160141260164	11.4329018561011	11.761338950541	12.6605015407732	11.4993792901005	12.0052286984263	11.4343568357515	11.7815285412319	12.6874672083105
"FBgn0000250"	12.1040427210348	11.3461099984765	11.1341117061212	10.7799441430465	11.468188493846	12.1348791903728	11.2436207726206	11.0814527046368	10.6998864973426	11.4208163615857
"FBgn0000251"	2.41331500654497	11.3048136143016	11.2683400345676	10.0072155600539	10.6323083359619	3.03747466989743	11.2829589674845	11.2822320330617	9.89979537753692	10.5162446201484
"FBgn0000253"	14.7617967254713	13.5049546554465	13.3457679922466	12.776955926707	12.6217595663064	14.7501408561712	13.4927316748293	13.3269277938325	12.6549759291851	12.6075215300039
"FBgn0000256"	9.48121758393669	11.5508731392849	12.7653015566839	9.63036415377464	9.79841345079305	9.36852487545863	11.5807445623631	12.7796638481509	9.49616327301004	9.83450813708986
"FBgn0000257"	9.50539224791718	9.68906797403639	10.0376733273319	10.0302394329433	10.5273767903003	9.52299183420933	9.71842749186126	10.0670076400573	10.1154997258262	10.5556006544575
"FBgn0000259"	12.9322082606483	11.8772232456602	10.8704630527377	10.498994924174	12.1811984255804	12.9045477468548	11.893835502626	10.7437655662657	10.4762168734396	12.139730879729
"FBgn0000261"	10.473527451323	11.1149067191576	11.0369856848856	11.062946981738	11.8395590838405	10.5087182626416	11.095352555244	11.0406447159556	11.1480637327504	11.824990021284
"FBgn0000273"	12.8911592770758	10.909499416276	10.5926949161956	10.4329196156058	10.2956118366085	12.8683526796187	10.9962329311632	10.617022904417	10.3337898723138	10.2226315565607
"FBgn0000274"	5.78002710475331	10.0710346410218	11.6210670109595	9.19478198493398	4.37345655967979	5.57532489604931	10.0754775174491	11.5554773433438	9.1597675620515	4.67591488578825
"FBgn0000276"	5.23281147779201	5.00825759117192	7.00478166898386	7.50186417156812	6.77681497579955	5.60408817850675	5.15136864443324	7.07333815523805	7.03683386789001	6.45833972516101
