#gene_ID	consensus_cluster_ID	cluster_in_72hrPHS	gene_name
FBgn0028856	cluster1166	clusterTSS_HS72_1317	CG18063
FBgn0028857	cluster1165	clusterTSS_HS72_1315	CG12448
FBgn0028858	cluster1170	clusterTSS_HS72_1322	CG10839
FBgn0028868	cluster1118	clusterTSS_HS72_1259	CG4701
FBgn0028870	cluster1115	clusterTSS_HS72_1255	CG4691
FBgn0028880	cluster1155	clusterTSS_HS72_1303	CG15256
FBgn0028884	cluster1176	clusterTSS_HS72_1329	CG4892
FBgn0028887	cluster1122	clusterTSS_HS72_1263	CG3491
FBgn0028892	cluster1148	clusterTSS_HS72_1294	CG4161
FBgn0028893	cluster1179	clusterTSS_HS72_1332	CG31819
FBgn0028896	cluster1185	clusterTSS_HS72_1338	CG17329
FBgn0028900	cluster2741	clusterTSS_HS72_3085	CG18518
FBgn0028901	cluster1158	clusterTSS_HS72_1307	CG18109
FBgn0028902	cluster1161	clusterTSS_HS72_1310	Tektin-A
FBgn0028903	cluster1160	clusterTSS_HS72_1309	CG13243
FBgn0028913	cluster2685	clusterTSS_HS72_3020	CG3473
FBgn0028935	cluster2742	clusterTSS_HS72_3086	CG7653
FBgn0028941	cluster1059	clusterTSS_HS72_1196	CG16853
FBgn0028942	cluster1058	clusterTSS_HS72_1195	CG16852
FBgn0028943	cluster2638	clusterTSS_HS72_2969	CG15638
FBgn0029084	cluster4608	clusterTSS_HS72_5197	gom
FBgn0029501	cluster4855	clusterTSS_HS72_5487	Crtp
FBgn0029539	cluster14364	clusterTSS_HS72_16348	CG11663
FBgn0029552	cluster14370	clusterTSS_HS72_16357	CG14631
FBgn0029589	cluster15678	clusterTSS_HS72_17815	CG14810
FBgn0029596	cluster15709	clusterTSS_HS72_17848	CG14054
FBgn0029603	cluster15720	clusterTSS_HS72_17860	CG14053
FBgn0029656	cluster15776	clusterTSS_HS72_17921	CG10793
FBgn0029657	cluster15777	clusterTSS_HS72_17923	CG12535
FBgn0029658	cluster15778	clusterTSS_HS72_17924	CG14269
FBgn0029659	cluster15779	clusterTSS_HS72_17926	CG16782
FBgn0029660	cluster14508	clusterTSS_HS72_16502	CG10801
FBgn0029661	cluster15780	clusterTSS_HS72_17927	CG16781
FBgn0029662	cluster15781	clusterTSS_HS72_17928	CG12206
FBgn0029667	cluster15783	clusterTSS_HS72_17930	Gas8
FBgn0029669	cluster14511	clusterTSS_HS72_16505	CG13021
FBgn0029679	cluster14525	clusterTSS_HS72_16520	CG2901
FBgn0029700	cluster15812	clusterTSS_HS72_17966	CG15576
FBgn0029701	cluster14554	clusterTSS_HS72_16557	CG12691
FBgn0029702	cluster14555	clusterTSS_HS72_16558	CG15572
FBgn0029703	cluster15816	clusterTSS_HS72_17970	CG12692
FBgn0029705	cluster15820	clusterTSS_HS72_17974	CG12693
FBgn0029717	cluster15828	clusterTSS_HS72_17983	CG12684
FBgn0029722	cluster14578	clusterTSS_HS72_16581	CG7024
FBgn0029724	cluster15838	clusterTSS_HS72_17993	CG15472
FBgn0029725	cluster15839	clusterTSS_HS72_17995	CG2871
FBgn0029726	cluster15840	clusterTSS_HS72_17996	CG15471
FBgn0029727	cluster14581	clusterTSS_HS72_16584	CG6978
FBgn0029728	cluster15842	clusterTSS_HS72_18000	CG2861
FBgn0029729	cluster14582	clusterTSS_HS72_16585	CG12682
FBgn0029730	cluster14583	clusterTSS_HS72_16586	CG12681
FBgn0029740	cluster14589	clusterTSS_HS72_16592	CG12680
FBgn0029745	cluster14593	clusterTSS_HS72_16597	Rpn13R
FBgn0029747	cluster15864	clusterTSS_HS72_18024	CG5062
FBgn0029751	cluster15867	clusterTSS_HS72_18028	CG17764
FBgn0029752	cluster15872	clusterTSS_HS72_18033	TrxT
FBgn0029753	cluster14596	clusterTSS_HS72_16600	CG4198
FBgn0029809	cluster14621	clusterTSS_HS72_16627	CG15767
FBgn0029812	cluster14622	clusterTSS_HS72_16628	Prosbeta2R1
FBgn0029816	cluster14623	clusterTSS_HS72_16629	CG12729
FBgn0029817	cluster14626	clusterTSS_HS72_16632	CG15764
FBgn0029856	cluster15936	clusterTSS_HS72_18104	CG11700
FBgn0029859	cluster15940	clusterTSS_HS72_18110	CG15892
FBgn0029877	cluster14681	clusterTSS_HS72_16692	CG17717
FBgn0029890	cluster14694	clusterTSS_HS72_16705	CG4095
FBgn0029940	cluster14725	clusterTSS_HS72_16736	CG1958
FBgn0029945	cluster14732	clusterTSS_HS72_16743	CG18155
FBgn0029946	cluster15999	clusterTSS_HS72_18178	CG15034
FBgn0029947	cluster14734	clusterTSS_HS72_16746	CG1999
FBgn0029949	cluster16001	clusterTSS_HS72_18180	CG15035
FBgn0029951	cluster14744	clusterTSS_HS72_16755	CG11369
FBgn0029952	cluster16008	clusterTSS_HS72_18189	CG12689
FBgn0029963	cluster16016	clusterTSS_HS72_18197	CG10920
FBgn0029964	cluster14753	clusterTSS_HS72_16765	CG1409
FBgn0029989	cluster16037	clusterTSS_HS72_18226	CG15333
