#gene_ID	consensus_cluster_ID	cluster_in_72hrPHS	gene_name
FBgn0032637	cluster1256	clusterTSS_HS72_1421	CG5050
FBgn0032645	cluster2840	clusterTSS_HS72_3199	CG15142
FBgn0032647	cluster2843	clusterTSS_HS72_3202	CG15143
FBgn0032648	cluster2844	clusterTSS_HS72_3203	CG15144
FBgn0032649	cluster2845	clusterTSS_HS72_3204	CG15145
FBgn0032650	cluster2847	clusterTSS_HS72_3206	CG7094
FBgn0032651	cluster1267	clusterTSS_HS72_1434	Oli
FBgn0032654	cluster2851	clusterTSS_HS72_3210	CG15147
FBgn0032658	cluster1274	clusterTSS_HS72_1442	CG5681
FBgn0032664	cluster1287	clusterTSS_HS72_1458	CG5755
FBgn0032677	cluster1292	clusterTSS_HS72_1466	CG5790
FBgn0032680	cluster1297	clusterTSS_HS72_1473	Ntf-2r
FBgn0032693	cluster2887	clusterTSS_HS72_3252	Cyp310a1
FBgn0032707	cluster2900	clusterTSS_HS72_3269	CG10348
FBgn0032709	cluster1318	clusterTSS_HS72_1498	CG15167
FBgn0032741	cluster1334	clusterTSS_HS72_1516	Side
FBgn0032754	cluster2939	clusterTSS_HS72_3313	CG10700
FBgn0032768	cluster2955	clusterTSS_HS72_3330	CG17564
FBgn0032769	cluster1355	clusterTSS_HS72_1540	CG10750
FBgn0032771	cluster1357	clusterTSS_HS72_1542	CG17349
FBgn0032827	cluster3003	clusterTSS_HS72_3382	CG10481
FBgn0032843	cluster3012	clusterTSS_HS72_3391	CG10730
FBgn0032850	cluster1415	clusterTSS_HS72_1603	Kua
FBgn0032851	cluster3021	clusterTSS_HS72_3401	CG13970
FBgn0032867	cluster1428	clusterTSS_HS72_1617	CG15475
FBgn0032869	cluster3041	clusterTSS_HS72_3424	CG17470
FBgn0032878	cluster3050	clusterTSS_HS72_3433	CG9316
FBgn0032894	cluster1465	clusterTSS_HS72_1655	CG14402
FBgn0032910	cluster3071	clusterTSS_HS72_3455	CG9265
FBgn0032964	cluster3133	clusterTSS_HS72_3524	CG11630
FBgn0032965	cluster3139	clusterTSS_HS72_3531	CG11629
FBgn0032966	cluster1530	clusterTSS_HS72_1727	CG1421
FBgn0032967	cluster1531	clusterTSS_HS72_1728	CG1428
FBgn0032968	cluster1533	clusterTSS_HS72_1730	CG11634
FBgn0032969	cluster3141	clusterTSS_HS72_3535	CG2528
FBgn0032971	cluster1541	clusterTSS_HS72_1738	ttm3
FBgn0032972	cluster3153	clusterTSS_HS72_3548	CG10834
FBgn0032973	cluster1542	clusterTSS_HS72_1739	CG6675
FBgn0033020	cluster3247	clusterTSS_HS72_3666	CG10396
FBgn0033042	cluster3270	clusterTSS_HS72_3690	Tsp42A
FBgn0033054	cluster4998	clusterTSS_HS72_5658	CG14591
FBgn0033056	cluster5000	clusterTSS_HS72_5662	CG7856
FBgn0033063	cluster3281	clusterTSS_HS72_3705	CG14589
FBgn0033074	cluster3290	clusterTSS_HS72_3716	tomboy40
FBgn0033076	cluster5019	clusterTSS_HS72_5681	CG15233
FBgn0033090	cluster3316	clusterTSS_HS72_3744	CG15909
FBgn0033112	cluster5060	clusterTSS_HS72_5726	Spn42Db
FBgn0033113	cluster3329	clusterTSS_HS72_3761	Spn42Dc
FBgn0033141	cluster5073	clusterTSS_HS72_5740	CG12831
FBgn0033149	cluster3359	clusterTSS_HS72_3794	CG11060
FBgn0033168	cluster5084	clusterTSS_HS72_5754	CG11145
FBgn0033190	cluster3383	clusterTSS_HS72_3825	CG2137
FBgn0033216	cluster3404	clusterTSS_HS72_3848	CG1946
FBgn0033238	cluster3420	clusterTSS_HS72_3865	CG11165
FBgn0033243	cluster5174	clusterTSS_HS72_5856	CG14763
FBgn0033248	cluster5180	clusterTSS_HS72_5862	Dic3
FBgn0033274	cluster5204	clusterTSS_HS72_5889	CG14757
FBgn0033278	cluster3458	clusterTSS_HS72_3909	CG14759
FBgn0033279	cluster5209	clusterTSS_HS72_5895	CG2291
FBgn0033280	cluster5210	clusterTSS_HS72_5897	CG12126
FBgn0033283	cluster3460	clusterTSS_HS72_3911	CG11635
FBgn0033285	cluster5222	clusterTSS_HS72_5911	CG18449
FBgn0033286	cluster5227	clusterTSS_HS72_5918	CG2127
FBgn0033287	cluster3462	clusterTSS_HS72_3913	CG8701
FBgn0033292	cluster5229	clusterTSS_HS72_5920	Cyp4ad1
FBgn0033301	cluster5231	clusterTSS_HS72_5923	CG12780
FBgn0033322	cluster5239	clusterTSS_HS72_5932	CG8584
FBgn0033323	cluster3489	clusterTSS_HS72_3941	CG12376
FBgn0033324	cluster5240	clusterTSS_HS72_5933	CG14744
FBgn0033326	cluster5241	clusterTSS_HS72_5934	CG14743
FBgn0033330	cluster3493	clusterTSS_HS72_3945	CG8746
FBgn0033344	cluster5256	clusterTSS_HS72_5950	CG8252
FBgn0033364	cluster3511	clusterTSS_HS72_3967	CG13747
FBgn0033369	cluster5269	clusterTSS_HS72_5963	CG8197
FBgn0033371	cluster3517	clusterTSS_HS72_3973	CNT1
FBgn0033408	cluster5310	clusterTSS_HS72_6007	CG8800
FBgn0033440	cluster3570	clusterTSS_HS72_4034	CG10459
FBgn0033442	cluster5342	clusterTSS_HS72_6043	CG1690
FBgn0033447	cluster5346	clusterTSS_HS72_6048	dila
FBgn0033461	cluster3590	clusterTSS_HS72_4052	CG12923
FBgn0033490	cluster3630	clusterTSS_HS72_4098	CG12917
FBgn0033498	cluster5391	clusterTSS_HS72_6101	CG12209
FBgn0033542	cluster3673	clusterTSS_HS72_4137	CG12309
FBgn0033572	cluster3696	clusterTSS_HS72_4165	polyph
FBgn0033574	cluster5459	clusterTSS_HS72_6176	Spn47C
FBgn0033599	cluster3710	clusterTSS_HS72_4182	CG13223
FBgn0033610	cluster5468	clusterTSS_HS72_6187	CG18335
FBgn0033623	cluster5474	clusterTSS_HS72_6194	CG13202
FBgn0033628	cluster3721	clusterTSS_HS72_4193	CG13203
FBgn0033644	cluster3734	clusterTSS_HS72_4206	Tret1-2
FBgn0033680	cluster3767	clusterTSS_HS72_4247	CG13186
FBgn0033687	cluster3772	clusterTSS_HS72_4252	CG8407
FBgn0033701	cluster3782	clusterTSS_HS72_4265	CG13171
FBgn0033705	cluster3783	clusterTSS_HS72_4266	CG13168
FBgn0033706	cluster3784	clusterTSS_HS72_4267	Vha36-2
FBgn0033748	cluster5564	clusterTSS_HS72_6305	vis
FBgn0033770	cluster3840	clusterTSS_HS72_4329	wuc
FBgn0033793	cluster5621	clusterTSS_HS72_6362	CG3955
FBgn0033794	cluster5622	clusterTSS_HS72_6363	CG13326
FBgn0033807	cluster5636	clusterTSS_HS72_6381	AQP
FBgn0033815	cluster3882	clusterTSS_HS72_4374	CG4676
FBgn0033819	cluster5649	clusterTSS_HS72_6396	CG4714
FBgn0033828	cluster5651	clusterTSS_HS72_6399	CG17048
FBgn0033834	cluster5653	clusterTSS_HS72_6401	CG4744
FBgn0033848	cluster3898	clusterTSS_HS72_4392	CG13330
FBgn0033856	cluster3900	clusterTSS_HS72_4395	CG13334
FBgn0033860	cluster3904	clusterTSS_HS72_4398	S-Lap5
FBgn0033861	cluster5674	clusterTSS_HS72_6423	CG12464
FBgn0033862	cluster5676	clusterTSS_HS72_6427	CG6209
FBgn0033863	cluster3906	clusterTSS_HS72_4400	CG13337
FBgn0033864	cluster3908	clusterTSS_HS72_4402	CG18368
FBgn0033865	cluster5678	clusterTSS_HS72_6429	CG6220
FBgn0033868	cluster5679	clusterTSS_HS72_6430	S-Lap7
FBgn0033885	cluster5693	clusterTSS_HS72_6445	DJ-1alpha
FBgn0033888	cluster5703	clusterTSS_HS72_6454	CG18568
FBgn0033893	cluster3937	clusterTSS_HS72_4433	CG18371
FBgn0033933	cluster3970	clusterTSS_HS72_4464	CG10104
FBgn0033952	cluster5759	clusterTSS_HS72_6520	Adgf-E
FBgn0033953	cluster5764	clusterTSS_HS72_6525	CG12861
FBgn0033954	cluster5767	clusterTSS_HS72_6530	CG12860
FBgn0033955	cluster3990	clusterTSS_HS72_4489	CG12866
FBgn0033963	cluster5773	clusterTSS_HS72_6536	CG12857
FBgn0033969	cluster5776	clusterTSS_HS72_6541	CG10202
FBgn0033983	cluster5791	clusterTSS_HS72_6553	CG10253
FBgn0034007	cluster5805	clusterTSS_HS72_6568	CG8102
FBgn0034031	cluster4048	clusterTSS_HS72_4552	CG12963
FBgn0034082	cluster5876	clusterTSS_HS72_6647	CG10734
FBgn0034097	cluster4097	clusterTSS_HS72_4607	CG3687
FBgn0034099	cluster5889	clusterTSS_HS72_6659	CG15708
FBgn0034104	cluster4100	clusterTSS_HS72_4610	CG15705
FBgn0034105	cluster5892	clusterTSS_HS72_6663	CG7755
FBgn0034120	cluster5901	clusterTSS_HS72_6673	CG15710
FBgn0034122	cluster5902	clusterTSS_HS72_6675	CG15711
FBgn0034127	cluster5906	clusterTSS_HS72_6679	CG7848
FBgn0034129	cluster4114	clusterTSS_HS72_4626	CG15925
FBgn0034132	cluster4116	clusterTSS_HS72_4628	S-Lap8
FBgn0034133	cluster5907	clusterTSS_HS72_6682	CG7813
FBgn0034144	cluster4127	clusterTSS_HS72_4642	CG5089
FBgn0034156	cluster4138	clusterTSS_HS72_4654	CG5348
FBgn0034173	cluster5938	clusterTSS_HS72_6718	CG9010
FBgn0034196	cluster5976	clusterTSS_HS72_6761	CG15605
FBgn0034202	cluster5980	clusterTSS_HS72_6765	CG17287
FBgn0034205	cluster4183	clusterTSS_HS72_4708	CG10950
FBgn0034206	cluster5983	clusterTSS_HS72_6768	CG18469
FBgn0034262	cluster6026	clusterTSS_HS72_6817	swi2
FBgn0034263	cluster4243	clusterTSS_HS72_4778	CG10934
FBgn0034274	cluster4250	clusterTSS_HS72_4785	CG10931
FBgn0034278	cluster6038	clusterTSS_HS72_6830	CG14488
FBgn0034325	cluster4296	clusterTSS_HS72_4840	CG18539
FBgn0034327	cluster6074	clusterTSS_HS72_6877	CG14505
FBgn0034352	cluster6085	clusterTSS_HS72_6888	CG17669
FBgn0034363	cluster4330	clusterTSS_HS72_4876	CG5327
FBgn0034377	cluster4339	clusterTSS_HS72_4886	CG15071
FBgn0034383	cluster6108	clusterTSS_HS72_6913	CG17821
FBgn0034416	cluster4358	clusterTSS_HS72_4904	CG15109
FBgn0034423	cluster4374	clusterTSS_HS72_4921	CG7229
FBgn0034435	cluster4383	clusterTSS_HS72_4931	CG9975
FBgn0034459	cluster4410	clusterTSS_HS72_4962	CG16716
FBgn0034461	cluster4413	clusterTSS_HS72_4965	CG15124
FBgn0034463	cluster4414	clusterTSS_HS72_4966	CG15125
FBgn0034464	cluster4415	clusterTSS_HS72_4967	CG11018
FBgn0034467	cluster6172	clusterTSS_HS72_6988	CG15128
FBgn0034472	cluster4421	clusterTSS_HS72_4970	CG8517
FBgn0034477	cluster6174	clusterTSS_HS72_6992	CG13872
FBgn0034478	cluster4428	clusterTSS_HS72_4981	CG10822
FBgn0034483	cluster6184	clusterTSS_HS72_7003	CG16894
FBgn0034489	cluster6187	clusterTSS_HS72_7006	ppk6
FBgn0034502	cluster4450	clusterTSS_HS72_5005	CG13871
FBgn0034506	cluster4457	clusterTSS_HS72_5012	CG13870
FBgn0034510	cluster6201	clusterTSS_HS72_7025	CG13426
FBgn0034532	cluster4470	clusterTSS_HS72_5025	CG13436
FBgn0034546	cluster6225	clusterTSS_HS72_7050	CG13442
FBgn0034554	cluster4484	clusterTSS_HS72_5040	CG15227
FBgn0034560	cluster4490	clusterTSS_HS72_5047	CG9235
FBgn0034566	cluster4497	clusterTSS_HS72_5059	CG9313
FBgn0034592	cluster4517	clusterTSS_HS72_5084	CG9406
FBgn0034595	cluster6247	clusterTSS_HS72_7073	CG15657
FBgn0034601	cluster6252	clusterTSS_HS72_7078	CG4286
FBgn0034655	cluster4568	clusterTSS_HS72_5150	CG10307
FBgn0034658	cluster4577	clusterTSS_HS72_5162	Grx-1
FBgn0034659	cluster4581	clusterTSS_HS72_5167	CG4021
FBgn0034667	cluster6310	clusterTSS_HS72_7134	comr
FBgn0034671	cluster6315	clusterTSS_HS72_7139	CG13494
FBgn0034681	cluster4590	clusterTSS_HS72_5176	CG9308
FBgn0034687	cluster6324	clusterTSS_HS72_7148	CG11475
FBgn0034700	cluster4607	clusterTSS_HS72_5196	CG11269
FBgn0034713	cluster4614	clusterTSS_HS72_5205	CG11291
FBgn0034721	cluster4619	clusterTSS_HS72_5210	CG11298
FBgn0034737	cluster4633	clusterTSS_HS72_5224	CG11362
FBgn0034745	cluster6363	clusterTSS_HS72_7196	CG4329
FBgn0034774	cluster4661	clusterTSS_HS72_5257	CG13526
FBgn0034776	cluster4663	clusterTSS_HS72_5259	CG13527
FBgn0034800	cluster6395	clusterTSS_HS72_7237	CG3788
FBgn0034820	cluster4694	clusterTSS_HS72_5298	CG13538
FBgn0034824	cluster6414	clusterTSS_HS72_7261	Klp59C
FBgn0034825	cluster6416	clusterTSS_HS72_7263	CG3215
FBgn0034826	cluster6418	clusterTSS_HS72_7265	CG13544
FBgn0034827	cluster4696	clusterTSS_HS72_5300	Klp59D
FBgn0034833	cluster4699	clusterTSS_HS72_5303	CG13539
FBgn0034834	cluster6420	clusterTSS_HS72_7269	LS2
FBgn0034835	cluster4701	clusterTSS_HS72_5305	CG3092
FBgn0034840	cluster6432	clusterTSS_HS72_7285	CG3124
FBgn0034841	cluster4704	clusterTSS_HS72_5308	CG13541
FBgn0034842	cluster6434	clusterTSS_HS72_7287	Prosbeta5R1
FBgn0034846	cluster4707	clusterTSS_HS72_5311	CG9863
FBgn0034850	cluster4712	clusterTSS_HS72_5316	CG9875
FBgn0034863	cluster6453	clusterTSS_HS72_7309	SkpF
FBgn0034869	cluster4720	clusterTSS_HS72_5327	CG13558
FBgn0034882	cluster4734	clusterTSS_HS72_5341	CG5398
FBgn0034898	cluster6474	clusterTSS_HS72_7331	CG18128
FBgn0034904	cluster6476	clusterTSS_HS72_7334	CG15800
FBgn0034907	cluster4753	clusterTSS_HS72_5363	CG5539
FBgn0034937	cluster4778	clusterTSS_HS72_5396	fzr2
FBgn0034957	cluster4790	clusterTSS_HS72_5409	CG3121
FBgn0034973	cluster4815	clusterTSS_HS72_5440	CG13564
FBgn0035003	cluster6549	clusterTSS_HS72_7421	CG15873
FBgn0035004	cluster6550	clusterTSS_HS72_7422	Pgam5-2
FBgn0035005	cluster4850	clusterTSS_HS72_5481	CG3483
FBgn0035007	cluster4851	clusterTSS_HS72_5482	CG3492
FBgn0035008	cluster4853	clusterTSS_HS72_5484	CG3494
FBgn0035009	cluster4854	clusterTSS_HS72_5486	CG16837
FBgn0035014	cluster4856	clusterTSS_HS72_5488	CG13581
FBgn0035034	cluster4868	clusterTSS_HS72_5500	CG3565
FBgn0035069	cluster4885	clusterTSS_HS72_5522	CG3611
FBgn0035124	cluster6647	clusterTSS_HS72_7530	ttm2
FBgn0035138	cluster8323	clusterTSS_HS72_9442	CG13884
FBgn0035139	cluster8324	clusterTSS_HS72_9444	CG13891
FBgn0035143	cluster6660	clusterTSS_HS72_7546	Ppm1
FBgn0035161	cluster8351	clusterTSS_HS72_9477	CG13898
FBgn0035179	cluster6688	clusterTSS_HS72_7575	CG12038
FBgn0035196	cluster6696	clusterTSS_HS72_7582	CG9129
FBgn0035217	cluster6718	clusterTSS_HS72_7608	FucTD
FBgn0035218	cluster8379	clusterTSS_HS72_9507	CG9173
FBgn0035231	cluster6731	clusterTSS_HS72_7621	Cct2
FBgn0035262	cluster8415	clusterTSS_HS72_9547	CG18171
FBgn0035263	cluster6750	clusterTSS_HS72_7641	CG12035
FBgn0035273	cluster6763	clusterTSS_HS72_7652	CG12020
FBgn0035299	cluster8451	clusterTSS_HS72_9592	CG11815
FBgn0035316	cluster8465	clusterTSS_HS72_9608	CG15878
FBgn0035332	cluster6784	clusterTSS_HS72_7675	CG13801
FBgn0035380	cluster8503	clusterTSS_HS72_9651	CG9970
FBgn0035384	cluster6837	clusterTSS_HS72_7735	CG2113
FBgn0035426	cluster8540	clusterTSS_HS72_9694	CG12078
FBgn0035455	cluster8557	clusterTSS_HS72_9713	CG10862
FBgn0035479	cluster8589	clusterTSS_HS72_9749	CG14983
FBgn0035491	cluster8602	clusterTSS_HS72_9766	Dpy-30L2
FBgn0035567	cluster8643	clusterTSS_HS72_9811	CG7514
FBgn0035568	cluster8644	clusterTSS_HS72_9812	CG18418
FBgn0035569	cluster8645	clusterTSS_HS72_9813	CG15876
FBgn0035581	cluster6986	clusterTSS_HS72_7915	CG17150
FBgn0035584	cluster8653	clusterTSS_HS72_9824	CG17030
FBgn0035585	cluster8656	clusterTSS_HS72_9827	CG12027
FBgn0035598	cluster6998	clusterTSS_HS72_7929	CG4669
FBgn0035638	cluster8709	clusterTSS_HS72_9892	Tektin-C
FBgn0035645	cluster7037	clusterTSS_HS72_7971	CG5592
FBgn0035647	cluster8717	clusterTSS_HS72_9901	CG10486
FBgn0035657	cluster8723	clusterTSS_HS72_9907	alphaKap4
FBgn0035693	cluster7058	clusterTSS_HS72_7996	CG8219
FBgn0035709	cluster8749	clusterTSS_HS72_9936	eIF4E-4
FBgn0035724	cluster8772	clusterTSS_HS72_9963	CG10064
FBgn0035730	cluster8784	clusterTSS_HS72_9977	CG17744
FBgn0035768	cluster8809	clusterTSS_HS72_10001	CG14834
FBgn0035776	cluster8817	clusterTSS_HS72_10013	CG8564
FBgn0035781	cluster8818	clusterTSS_HS72_10014	CG8560
FBgn0035782	cluster8821	clusterTSS_HS72_10017	CG14835
FBgn0035799	cluster7131	clusterTSS_HS72_8081	CG14838
FBgn0035800	cluster8823	clusterTSS_HS72_10018	CG7716
FBgn0035823	cluster7143	clusterTSS_HS72_8093	eIF4E-5
FBgn0035845	cluster8870	clusterTSS_HS72_10067	CG13675
FBgn0035852	cluster8874	clusterTSS_HS72_10071	CG7387
FBgn0035855	cluster8877	clusterTSS_HS72_10074	CG7366
FBgn0035861	cluster8879	clusterTSS_HS72_10077	CG7213
FBgn0035915	cluster7216	clusterTSS_HS72_8173	S-Lap1
FBgn0035924	cluster7233	clusterTSS_HS72_8192	CG6576
FBgn0035943	cluster8937	clusterTSS_HS72_10143	CG5653
FBgn0035952	cluster8942	clusterTSS_HS72_10149	CG5280
FBgn0035957	cluster7252	clusterTSS_HS72_8213	CG5144
FBgn0035970	cluster8965	clusterTSS_HS72_10181	CG4483
FBgn0035988	cluster8990	clusterTSS_HS72_10216	CG3982
FBgn0036014	cluster7304	clusterTSS_HS72_8277	CG3222
FBgn0036016	cluster7305	clusterTSS_HS72_8278	CG3306
FBgn0036029	cluster7312	clusterTSS_HS72_8287	CG16719
FBgn0036031	cluster9027	clusterTSS_HS72_10261	CG6761
FBgn0036075	cluster7359	clusterTSS_HS72_8346	CG8065
FBgn0036082	cluster7361	clusterTSS_HS72_8349	CG12362
FBgn0036085	cluster9064	clusterTSS_HS72_10304	CG6527
FBgn0036093	cluster7380	clusterTSS_HS72_8371	CG14154
FBgn0036153	cluster7428	clusterTSS_HS72_8427	CG7573
FBgn0036156	cluster7429	clusterTSS_HS72_8429	CG11726
FBgn0036159	cluster7431	clusterTSS_HS72_8431	CG7557
FBgn0036160	cluster9140	clusterTSS_HS72_10391	CG12289
FBgn0036161	cluster7432	clusterTSS_HS72_8432	CG7551
FBgn0036162	cluster9141	clusterTSS_HS72_10392	CG6140
FBgn0036183	cluster9162	clusterTSS_HS72_10414	CG6083
FBgn0036204	cluster9175	clusterTSS_HS72_10426	Tim13
FBgn0036206	cluster9178	clusterTSS_HS72_10429	CG5964
FBgn0036214	cluster7464	clusterTSS_HS72_8467	CG7264
FBgn0036217	cluster9189	clusterTSS_HS72_10442	CG5906
FBgn0036218	cluster7465	clusterTSS_HS72_8468	CG14128
FBgn0036221	cluster7466	clusterTSS_HS72_8470	CG11588
FBgn0036222	cluster9190	clusterTSS_HS72_10443	CG5718
FBgn0036236	cluster7468	clusterTSS_HS72_8472	CG6931
FBgn0036246	cluster7471	clusterTSS_HS72_8475	CG17154
FBgn0036310	cluster9243	clusterTSS_HS72_10504	CG10969
FBgn0036325	cluster9252	clusterTSS_HS72_10515	CG10752
FBgn0036327	cluster9253	clusterTSS_HS72_10516	CG10748
FBgn0036328	cluster7533	clusterTSS_HS72_8550	CG10749
FBgn0036329	cluster7535	clusterTSS_HS72_8552	CG11262
FBgn0036345	cluster9265	clusterTSS_HS72_10531	CG17300
FBgn0036346	cluster9266	clusterTSS_HS72_10532	CG11251
FBgn0036348	cluster7563	clusterTSS_HS72_8582	CG17687
FBgn0036351	cluster9279	clusterTSS_HS72_10544	CG14107
FBgn0036403	cluster7598	clusterTSS_HS72_8620	CG6661
FBgn0036415	cluster7609	clusterTSS_HS72_8631	CG7768
FBgn0036421	cluster9321	clusterTSS_HS72_10590	CG13481
FBgn0036426	cluster7627	clusterTSS_HS72_8648	CG9592
FBgn0036438	cluster7644	clusterTSS_HS72_8666	CG13477
FBgn0036439	cluster9334	clusterTSS_HS72_10607	CG13474
FBgn0036440	cluster9335	clusterTSS_HS72_10608	CG17177
FBgn0036441	cluster7646	clusterTSS_HS72_8668	CG13476
FBgn0036442	cluster7648	clusterTSS_HS72_8670	CG13473
FBgn0036443	cluster9336	clusterTSS_HS72_10609	CG13471
FBgn0036447	cluster9341	clusterTSS_HS72_10613	CG17173
FBgn0036465	cluster9351	clusterTSS_HS72_10628	Rpn12R
FBgn0036479	cluster7672	clusterTSS_HS72_8698	CG13458
FBgn0036490	cluster7680	clusterTSS_HS72_8706	CG6888
FBgn0036491	cluster7682	clusterTSS_HS72_8709	Best4
FBgn0036492	cluster9370	clusterTSS_HS72_10649	Best3
FBgn0036495	cluster7686	clusterTSS_HS72_8713	CG33259
FBgn0036496	cluster9373	clusterTSS_HS72_10652	CG7804
FBgn0036497	cluster9374	clusterTSS_HS72_10653	Ran-like
FBgn0036498	cluster7689	clusterTSS_HS72_8718	CG13455
FBgn0036499	cluster7690	clusterTSS_HS72_8720	CG7276
FBgn0036520	cluster9391	clusterTSS_HS72_10672	CG13449
FBgn0036567	cluster9422	clusterTSS_HS72_10701	CG13074
FBgn0036568	cluster7741	clusterTSS_HS72_8775	ms(3)72Dt
FBgn0036608	cluster9436	clusterTSS_HS72_10718	CG13040
FBgn0036609	cluster9436	clusterTSS_HS72_10718	CG13039
FBgn0036652	cluster7789	clusterTSS_HS72_8834	CG13032
FBgn0036654	cluster7790	clusterTSS_HS72_8835	CG9692
FBgn0036687	cluster9507	clusterTSS_HS72_10801	CG6652
FBgn0036703	cluster7838	clusterTSS_HS72_8890	CG7707
FBgn0036704	cluster9514	clusterTSS_HS72_10809	CG6497
FBgn0036705	cluster7842	clusterTSS_HS72_8894	CG13723
FBgn0036706	cluster9517	clusterTSS_HS72_10812	CG6485
FBgn0036708	cluster9518	clusterTSS_HS72_10813	CG13725
FBgn0036712	cluster9521	clusterTSS_HS72_10816	brv2
FBgn0036723	cluster9529	clusterTSS_HS72_10824	CG12229
FBgn0036729	cluster9530	clusterTSS_HS72_10826	CG13733
FBgn0036747	cluster9550	clusterTSS_HS72_10851	CG6052
FBgn0036751	cluster9551	clusterTSS_HS72_10852	Adgf-B
FBgn0036778	cluster9584	clusterTSS_HS72_10886	Cyp312a1
FBgn0036784	cluster9589	clusterTSS_HS72_10891	CG5103
FBgn0036785	cluster9590	clusterTSS_HS72_10892	CG13700
FBgn0036787	cluster9596	clusterTSS_HS72_10899	CG4306
FBgn0036808	cluster9611	clusterTSS_HS72_10916	Dic4
FBgn0036830	cluster9623	clusterTSS_HS72_10930	CG14077
FBgn0036832	cluster9624	clusterTSS_HS72_10931	CG18223
FBgn0036868	cluster7940	clusterTSS_HS72_9007	ms(3)76Ba
FBgn0036874	cluster9656	clusterTSS_HS72_10966	brv1
FBgn0036895	cluster7955	clusterTSS_HS72_9024	ms(3)76Cc
FBgn0036924	cluster9715	clusterTSS_HS72_11035	hale
FBgn0036925	cluster7980	clusterTSS_HS72_9055	schuy
FBgn0036931	cluster9716	clusterTSS_HS72_11036	CG14183
FBgn0036941	cluster9719	clusterTSS_HS72_11038	CG7335
FBgn0036962	cluster9725	clusterTSS_HS72_11045	CG17122
FBgn0037023	cluster9769	clusterTSS_HS72_11095	CG3698
FBgn0037035	cluster8063	clusterTSS_HS72_9142	CG10589
FBgn0037037	cluster8065	clusterTSS_HS72_9144	CG10588
FBgn0037040	cluster9784	clusterTSS_HS72_11113	CG12983
FBgn0037050	cluster8075	clusterTSS_HS72_9158	CG10566
FBgn0037059	cluster9800	clusterTSS_HS72_11132	CG10510
FBgn0037064	cluster9804	clusterTSS_HS72_11136	CG9389
FBgn0037086	cluster9823	clusterTSS_HS72_11155	CG7202
FBgn0037101	cluster8115	clusterTSS_HS72_9205	CG7634
FBgn0037115	cluster8126	clusterTSS_HS72_9217	CG11249
FBgn0037143	cluster8145	clusterTSS_HS72_9238	CG7448
FBgn0037147	cluster9864	clusterTSS_HS72_11199	CG7140
FBgn0037169	cluster8177	clusterTSS_HS72_9277	CG11404
FBgn0037170	cluster8179	clusterTSS_HS72_9279	Trxr-2
FBgn0037172	cluster8181	clusterTSS_HS72_9281	CG6914
FBgn0037176	cluster8182	clusterTSS_HS72_9283	CG14456
FBgn0037180	cluster8183	clusterTSS_HS72_9284	CG14452
FBgn0037191	cluster8198	clusterTSS_HS72_9298	CG14448
FBgn0037195	cluster8199	clusterTSS_HS72_9299	CG11226
FBgn0037197	cluster8201	clusterTSS_HS72_9301	CG13239
FBgn0037222	cluster12046	clusterTSS_HS72_13690	CG14642
FBgn0037254	cluster10032	clusterTSS_HS72_11395	CG14651
FBgn0037276	cluster12103	clusterTSS_HS72_13746	CG17387
FBgn0037283	cluster12115	clusterTSS_HS72_13759	CG14658
FBgn0037295	cluster10070	clusterTSS_HS72_11434	dpr16
FBgn0037296	cluster12130	clusterTSS_HS72_13774	Prosbeta2R2
FBgn0037310	cluster10082	clusterTSS_HS72_11449	Tim17b1
FBgn0037320	cluster12157	clusterTSS_HS72_13805	CG14668
FBgn0037325	cluster12159	clusterTSS_HS72_13807	CG12147
FBgn0037365	cluster12210	clusterTSS_HS72_13866	CG2104
FBgn0037385	cluster10150	clusterTSS_HS72_11527	glob3
FBgn0037388	cluster10151	clusterTSS_HS72_11528	CG14676
FBgn0037398	cluster12237	clusterTSS_HS72_13897	CG15580
FBgn0037402	cluster10159	clusterTSS_HS72_11538	Vha14-2
FBgn0037432	cluster10169	clusterTSS_HS72_11548	CG10298
FBgn0037454	cluster12256	clusterTSS_HS72_13922	CG1137
FBgn0037455	cluster10193	clusterTSS_HS72_11579	CG2336
FBgn0037456	cluster12257	clusterTSS_HS72_13924	CG1138
FBgn0037460	cluster12261	clusterTSS_HS72_13929	sowi
FBgn0037461	cluster12262	clusterTSS_HS72_13930	CG15177
FBgn0037462	cluster10196	clusterTSS_HS72_11582	sunz
FBgn0037464	cluster10214	clusterTSS_HS72_11603	CG1988
FBgn0037477	cluster12285	clusterTSS_HS72_13955	CG14610
FBgn0037483	cluster10245	clusterTSS_HS72_11646	CG14609
FBgn0037486	cluster12298	clusterTSS_HS72_13969	CG14605
FBgn0037500	cluster12307	clusterTSS_HS72_13978	CG17944
FBgn0037502	cluster10258	clusterTSS_HS72_11660	wa-cup
FBgn0037506	cluster12319	clusterTSS_HS72_13992	CG1287
FBgn0037512	cluster10263	clusterTSS_HS72_11665	CG2616
FBgn0037514	cluster10264	clusterTSS_HS72_11666	CG10919
FBgn0037516	cluster12336	clusterTSS_HS72_14011	CG11286
FBgn0037547	cluster10291	clusterTSS_HS72_11699	CG7910
FBgn0037571	cluster12376	clusterTSS_HS72_14054	CG11694
FBgn0037572	cluster10312	clusterTSS_HS72_11720	CG11698
