""	"B1"	"B2"	"H1"	"H2"
"cluster1591"	7.94699484156874	7.95515446192134	8.6679054335379	8.46398835049193
"cluster20"	12.4693838618163	12.5513441666271	13.0680317077934	12.5820730085831
"cluster1592"	-2.32965442180541	-2.28426652258157	6.31035560428528	6.3124504967676
"cluster21"	9.79211571420686	9.83007027530246	9.75967934749442	9.70583693004328
"cluster22"	11.8063397066369	11.835082434246	11.456987150419	11.5084307844948
"cluster23"	4.20953662363294	4.54537810510435	5.52621301976517	6.42906237829156
"cluster24"	4.62130014494197	4.63316057301061	8.7502557012792	8.91767563159154
"cluster25"	9.1197508348936	9.21170937067377	8.27814176573428	8.51363865159672
"cluster26"	6.71181845128449	6.58726575302026	6.05545879594587	6.47010692853467
"cluster27"	10.6263156929446	10.516151333686	11.6132370206871	11.4475723833229
"cluster28"	-2.2094172448161	-2.16360598019293	8.20114041636764	9.24981795727344
"cluster29"	9.42022032605142	9.39515358503807	8.94347495671497	9.03766971752491
"cluster1595"	2.79499586762617	2.98101128512097	8.57313052164705	9.29314608931614
"cluster1596"	4.87265462688863	5.92517508241291	5.09003324002719	5.68479022206353
"cluster1597"	6.08289219273427	6.21801765777601	6.14923279316264	6.30975297345609
"cluster31"	-1.93674509186256	1.5685766563931	10.9428678023434	11.5021648976688
"cluster1598"	5.9798817491516	6.73381895252119	6.18068485850009	6.16011216482344
"cluster1599"	5.08129593473153	5.18823298020334	4.80111732803434	5.15693351956433
"cluster1600"	8.12073490481324	8.23790897444412	8.03480899880437	7.92059886594968
"cluster1602"	11.0100592191686	11.1093649351382	10.7931331331677	10.9796707819365
"cluster1603"	7.9676485989402	7.85561000764552	7.39474152341954	7.33652469466551
"cluster1604"	-2.27637304259494	-2.2306957952618	7.2723463329394	7.74585878078027
"cluster33"	1.54236423231097	0.708853243426693	12.3367303821802	13.1661510856727
"cluster1605"	6.99856080553678	7.25510639749139	6.43540441280682	6.42933714383959
"cluster1606"	9.81358269951967	9.94998188236116	9.53844516981976	9.30604721922337
"cluster35"	9.6318085726172	9.63157549262816	10.0485423283235	9.71940904454174
"cluster1607"	9.53003375342409	9.58759352351918	9.12170541936351	9.03803949336701
"cluster1608"	0.585177022470106	-2.0048867831101	9.54488546756424	10.1862630100023
"cluster1609"	-2.27752575949892	-2.23185064299464	7.21522461838493	7.76257007075153
"cluster1610"	6.80927334663428	6.79014408870781	8.95261014412704	9.5881588245378
"cluster1612"	9.65035569321229	9.67695246340404	10.8125339020317	11.1593779225352
"cluster1613"	7.88741010940545	7.65976145073825	7.6798104897679	6.99234437997992
"cluster37"	10.5689120488937	10.4499539248675	13.8101306901051	13.8513358245522
"cluster38"	3.46415871855381	3.75892152616081	6.16656845936767	7.12195911095299
"cluster1614"	10.2940187397279	10.2729835168199	11.8195339386672	12.1112999350778
"cluster39"	11.5570189149924	11.6470678645415	12.530605904865	12.4373488604895
"cluster40"	5.11989243445203	5.22669009805475	6.57397495939212	7.22563973042297
"cluster41"	10.2338801621427	10.2966868105686	10.1547787785365	10.1254585667904
"cluster42"	5.97905631148291	5.83669698108402	4.10745882354491	4.66139013842156
"cluster43"	-0.267595017855684	-2.06363250879291	9.22324068491661	9.46259095332338
"cluster44"	8.32493939351835	8.17581959682854	7.83516626833876	7.41791963011613
"cluster45"	7.23014828428183	7.19578451124241	6.62740842813507	6.59635997280352
"cluster1615"	-2.29400193903013	-2.24835487149538	6.56284408447549	7.84799754201924
"cluster1616"	-2.24415830361231	-2.19838790823834	7.4556884646837	8.82195525563221
"cluster1617"	0.657007443186573	0.707801182493234	12.7719958279581	13.5162831426522
"cluster1618"	-2.23108921597037	-2.1853055477085	7.83671933160351	8.87287157250646
"cluster1619"	-1.9193733462087	1.18778336746528	11.2423942170192	12.1487610806828
"cluster1620"	6.47064549625513	6.27288039058072	6.4064539193222	6.42620343398909
"cluster1621"	10.0517011567116	10.1563172078472	10.0240258283051	9.95707080693465
"cluster1622"	-0.233974007761416	-1.9857735538847	10.2548759157834	10.9694267235232
"cluster47"	8.69875858909719	8.79254459976861	8.11012277707767	7.88997245471482
"cluster1623"	11.3186169960421	11.2006770111303	10.8362732739457	10.6072281207843
"cluster1624"	0.57058205012742	-0.22750723859549	6.79033313015118	6.55268394801597
"cluster48"	9.00130092937915	9.17747866647136	9.41948375068877	9.88839396897309
"cluster1625"	8.95564184151032	8.95396404895134	9.27164599292921	8.69970667947607
"cluster49"	16.198686299472	16.1773618525842	15.8776574066982	15.5217790281826
"cluster50"	9.00924634898795	9.14234918034627	8.55712617090657	8.822213058765
